# KAGRAplusCombined
# freq[Hz] htotal[/rtHz]
1.0000e+00 7.7753e-16
1.0093e+00 7.3193e-16
1.0186e+00 6.8733e-16
1.0280e+00 6.4410e-16
1.0376e+00 6.0253e-16
1.0472e+00 5.6283e-16
1.0569e+00 5.2513e-16
1.0667e+00 4.8951e-16
1.0765e+00 4.5597e-16
1.0865e+00 4.2449e-16
1.0966e+00 3.9502e-16
1.1067e+00 3.6748e-16
1.1170e+00 3.4178e-16
1.1273e+00 3.1782e-16
1.1378e+00 2.9551e-16
1.1483e+00 2.7474e-16
1.1589e+00 2.5541e-16
1.1697e+00 2.3744e-16
1.1805e+00 2.2073e-16
1.1915e+00 2.0519e-16
1.2025e+00 1.9074e-16
1.2136e+00 1.7732e-16
1.2249e+00 1.6484e-16
1.2362e+00 1.5324e-16
1.2477e+00 1.4245e-16
1.2592e+00 1.3243e-16
1.2709e+00 1.2312e-16
1.2826e+00 1.1446e-16
1.2945e+00 1.0641e-16
1.3065e+00 9.8931e-17
1.3186e+00 9.1978e-17
1.3308e+00 8.5516e-17
1.3432e+00 7.9509e-17
1.3556e+00 7.3926e-17
1.3682e+00 6.8736e-17
1.3808e+00 6.3911e-17
1.3936e+00 5.9427e-17
1.4065e+00 5.5258e-17
1.4196e+00 5.1383e-17
1.4327e+00 4.7780e-17
1.4460e+00 4.4431e-17
1.4594e+00 4.1318e-17
1.4729e+00 3.8424e-17
1.4865e+00 3.5733e-17
1.5003e+00 3.3231e-17
1.5142e+00 3.0906e-17
1.5282e+00 2.8743e-17
1.5424e+00 2.6733e-17
1.5567e+00 2.4864e-17
1.5711e+00 2.3126e-17
1.5856e+00 2.1510e-17
1.6003e+00 2.0008e-17
1.6151e+00 1.8611e-17
1.6301e+00 1.7312e-17
1.6452e+00 1.6104e-17
1.6604e+00 1.4981e-17
1.6758e+00 1.3937e-17
1.6913e+00 1.2966e-17
1.7070e+00 1.2062e-17
1.7228e+00 1.1222e-17
1.7388e+00 1.0441e-17
1.7549e+00 9.7149e-18
1.7711e+00 9.0393e-18
1.7875e+00 8.4109e-18
1.8041e+00 7.8265e-18
1.8208e+00 7.2829e-18
1.8377e+00 6.7773e-18
1.8547e+00 6.3070e-18
1.8719e+00 5.8696e-18
1.8892e+00 5.4627e-18
1.9067e+00 5.0841e-18
1.9244e+00 4.7320e-18
1.9422e+00 4.4044e-18
1.9602e+00 4.0997e-18
1.9783e+00 3.8162e-18
1.9966e+00 3.5524e-18
2.0151e+00 3.3070e-18
2.0338e+00 3.0787e-18
2.0526e+00 2.8662e-18
2.0716e+00 2.6685e-18
2.0908e+00 2.4846e-18
2.1102e+00 2.3134e-18
2.1297e+00 2.1541e-18
2.1495e+00 2.0059e-18
2.1694e+00 1.8679e-18
2.1895e+00 1.7396e-18
2.2098e+00 1.6201e-18
2.2302e+00 1.5089e-18
2.2509e+00 1.4053e-18
2.2717e+00 1.3090e-18
2.2928e+00 1.2193e-18
2.3140e+00 1.1358e-18
2.3354e+00 1.0581e-18
2.3571e+00 9.8573e-19
2.3789e+00 9.1836e-19
2.4009e+00 8.5565e-19
2.4232e+00 7.9725e-19
2.4456e+00 7.4288e-19
2.4683e+00 6.9226e-19
2.4911e+00 6.4511e-19
2.5142e+00 6.0121e-19
2.5375e+00 5.6033e-19
2.5610e+00 5.2225e-19
2.5847e+00 4.8679e-19
2.6087e+00 4.5376e-19
2.6328e+00 4.2300e-19
2.6572e+00 3.9434e-19
2.6818e+00 3.6765e-19
2.7067e+00 3.4278e-19
2.7317e+00 3.1961e-19
2.7570e+00 2.9803e-19
2.7826e+00 2.7792e-19
2.8083e+00 2.5918e-19
2.8343e+00 2.4172e-19
2.8606e+00 2.2546e-19
2.8871e+00 2.1031e-19
2.9138e+00 1.9621e-19
2.9408e+00 1.8309e-19
2.9681e+00 1.7090e-19
2.9955e+00 1.5958e-19
3.0233e+00 1.4907e-19
3.0513e+00 1.3933e-19
3.0796e+00 1.3029e-19
3.1081e+00 1.2189e-19
3.1369e+00 1.1410e-19
3.1659e+00 1.0685e-19
3.1952e+00 1.0010e-19
3.2248e+00 9.3812e-20
3.2547e+00 8.7946e-20
3.2849e+00 8.2469e-20
3.3153e+00 7.7348e-20
3.3460e+00 7.2557e-20
3.3770e+00 6.8072e-20
3.4083e+00 6.3871e-20
3.4398e+00 5.9933e-20
3.4717e+00 5.6241e-20
3.5038e+00 5.2779e-20
3.5363e+00 4.9532e-20
3.5690e+00 4.6485e-20
3.6021e+00 4.3627e-20
3.6355e+00 4.0944e-20
3.6691e+00 3.8427e-20
3.7031e+00 3.6065e-20
3.7374e+00 3.3849e-20
3.7720e+00 3.1768e-20
3.8070e+00 2.9816e-20
3.8422e+00 2.7983e-20
3.8778e+00 2.6263e-20
3.9137e+00 2.4649e-20
3.9500e+00 2.3134e-20
3.9866e+00 2.1712e-20
4.0235e+00 2.0378e-20
4.0608e+00 1.9126e-20
4.0984e+00 1.7950e-20
4.1363e+00 1.6847e-20
4.1747e+00 1.5812e-20
4.2133e+00 1.4840e-20
4.2523e+00 1.3928e-20
4.2917e+00 1.3072e-20
4.3315e+00 1.2268e-20
4.3716e+00 1.1514e-20
4.4121e+00 1.0807e-20
4.4530e+00 1.0143e-20
4.4942e+00 9.5193e-21
4.5358e+00 8.9343e-21
4.5778e+00 8.3852e-21
4.6202e+00 7.8698e-21
4.6630e+00 7.3862e-21
4.7062e+00 6.9322e-21
4.7498e+00 6.5062e-21
4.7938e+00 6.1063e-21
4.8382e+00 5.7311e-21
4.8830e+00 5.3790e-21
4.9282e+00 5.0493e-21
4.9739e+00 4.7415e-21
5.0200e+00 4.4553e-21
5.0665e+00 4.1903e-21
5.1134e+00 3.9456e-21
5.1607e+00 3.7200e-21
5.2085e+00 3.5119e-21
5.2568e+00 3.3195e-21
5.3055e+00 3.1410e-21
5.3546e+00 2.9747e-21
5.4042e+00 2.8193e-21
5.4543e+00 2.6735e-21
5.5048e+00 2.5365e-21
5.5558e+00 2.4075e-21
5.6072e+00 2.2859e-21
5.6592e+00 2.1713e-21
5.7116e+00 2.0633e-21
5.7645e+00 1.9615e-21
5.8179e+00 1.8657e-21
5.8718e+00 1.7755e-21
5.9262e+00 1.6906e-21
5.9810e+00 1.6107e-21
6.0364e+00 1.5356e-21
6.0923e+00 1.4650e-21
6.1488e+00 1.3985e-21
6.2057e+00 1.3361e-21
6.2632e+00 1.2773e-21
6.3212e+00 1.2222e-21
6.3798e+00 1.1704e-21
6.4389e+00 1.1220e-21
6.4985e+00 1.0769e-21
6.5587e+00 1.0348e-21
6.6194e+00 9.9565e-22
6.6807e+00 9.5927e-22
6.7426e+00 9.2542e-22
6.8051e+00 8.9385e-22
6.8681e+00 8.6431e-22
6.9317e+00 8.3656e-22
6.9959e+00 8.1037e-22
7.0607e+00 7.8555e-22
7.1261e+00 7.6191e-22
7.1921e+00 7.3931e-22
7.2587e+00 7.1764e-22
7.3260e+00 6.9678e-22
7.3938e+00 6.7666e-22
7.4623e+00 6.5723e-22
7.5314e+00 6.3842e-22
7.6012e+00 6.2019e-22
7.6716e+00 6.0252e-22
7.7426e+00 5.8538e-22
7.8144e+00 5.6874e-22
7.8867e+00 5.5258e-22
7.9598e+00 5.3689e-22
8.0335e+00 5.2165e-22
8.1079e+00 5.0684e-22
8.1830e+00 4.9246e-22
8.2588e+00 4.7848e-22
8.3353e+00 4.6491e-22
8.4125e+00 4.5172e-22
8.4904e+00 4.3890e-22
8.5691e+00 4.2645e-22
8.6484e+00 4.1435e-22
8.7285e+00 4.0259e-22
8.8094e+00 3.9117e-22
8.8910e+00 3.8007e-22
8.9733e+00 3.6929e-22
9.0564e+00 3.5881e-22
9.1403e+00 3.4863e-22
9.2250e+00 3.3874e-22
9.3104e+00 3.2913e-22
9.3966e+00 3.1979e-22
9.4837e+00 3.1072e-22
9.5715e+00 3.0190e-22
9.6602e+00 2.9334e-22
9.7496e+00 2.8501e-22
9.8400e+00 2.7693e-22
9.9311e+00 2.6907e-22
1.0023e+01 2.6144e-22
1.0116e+01 2.5402e-22
1.0210e+01 2.4681e-22
1.0304e+01 2.3981e-22
1.0400e+01 2.3301e-22
1.0496e+01 2.2640e-22
1.0593e+01 2.1997e-22
1.0691e+01 2.1374e-22
1.0790e+01 2.0770e-22
1.0890e+01 2.0187e-22
1.0991e+01 1.9627e-22
1.1093e+01 1.9092e-22
1.1196e+01 1.8583e-22
1.1299e+01 1.8097e-22
1.1404e+01 1.7633e-22
1.1510e+01 1.7188e-22
1.1616e+01 1.6761e-22
1.1724e+01 1.6347e-22
1.1832e+01 1.5945e-22
1.1942e+01 1.5554e-22
1.2053e+01 1.5173e-22
1.2164e+01 1.4800e-22
1.2277e+01 1.4436e-22
1.2391e+01 1.4081e-22
1.2505e+01 1.3734e-22
1.2621e+01 1.3396e-22
1.2738e+01 1.3066e-22
1.2856e+01 1.2745e-22
1.2975e+01 1.2433e-22
1.3095e+01 1.2129e-22
1.3217e+01 1.1833e-22
1.3339e+01 1.1545e-22
1.3463e+01 1.1265e-22
1.3587e+01 1.0992e-22
1.3713e+01 1.0727e-22
1.3840e+01 1.0469e-22
1.3968e+01 1.0218e-22
1.4098e+01 9.9738e-23
1.4228e+01 9.7360e-23
1.4360e+01 9.5045e-23
1.4493e+01 9.2791e-23
1.4627e+01 9.0595e-23
1.4763e+01 8.8457e-23
1.4900e+01 8.6374e-23
1.5038e+01 8.4345e-23
1.5177e+01 8.2367e-23
1.5317e+01 8.0441e-23
1.5459e+01 7.8563e-23
1.5602e+01 7.6733e-23
1.5747e+01 7.4948e-23
1.5893e+01 7.3209e-23
1.6040e+01 7.1513e-23
1.6189e+01 6.9859e-23
1.6339e+01 6.8247e-23
1.6490e+01 6.6674e-23
1.6643e+01 6.5141e-23
1.6797e+01 6.3645e-23
1.6952e+01 6.2186e-23
1.7109e+01 6.0762e-23
1.7268e+01 5.9373e-23
1.7428e+01 5.8019e-23
1.7589e+01 5.6697e-23
1.7752e+01 5.5407e-23
1.7917e+01 5.4149e-23
1.8082e+01 5.2921e-23
1.8250e+01 5.1722e-23
1.8419e+01 5.0553e-23
1.8590e+01 4.9411e-23
1.8762e+01 4.8297e-23
1.8936e+01 4.7210e-23
1.9111e+01 4.6148e-23
1.9288e+01 4.5112e-23
1.9467e+01 4.4101e-23
1.9647e+01 4.3113e-23
1.9829e+01 4.2150e-23
2.0012e+01 4.1209e-23
2.0198e+01 4.0290e-23
2.0385e+01 3.9393e-23
2.0574e+01 3.8518e-23
2.0764e+01 3.7663e-23
2.0957e+01 3.6828e-23
2.1151e+01 3.6013e-23
2.1347e+01 3.5217e-23
2.1544e+01 3.4440e-23
2.1744e+01 3.3681e-23
2.1945e+01 3.2940e-23
2.2149e+01 3.2217e-23
2.2354e+01 3.1510e-23
2.2561e+01 3.0820e-23
2.2770e+01 3.0146e-23
2.2981e+01 2.9489e-23
2.3193e+01 2.8846e-23
2.3408e+01 2.8219e-23
2.3625e+01 2.7606e-23
2.3844e+01 2.7007e-23
2.4065e+01 2.6423e-23
2.4288e+01 2.5852e-23
2.4513e+01 2.5295e-23
2.4740e+01 2.4751e-23
2.4969e+01 2.4219e-23
2.5200e+01 2.3700e-23
2.5433e+01 2.3194e-23
2.5669e+01 2.2699e-23
2.5907e+01 2.2216e-23
2.6147e+01 2.1744e-23
2.6389e+01 2.1283e-23
2.6633e+01 2.0834e-23
2.6880e+01 2.0395e-23
2.7129e+01 1.9966e-23
2.7380e+01 1.9548e-23
2.7634e+01 1.9139e-23
2.7890e+01 1.8741e-23
2.8148e+01 1.8352e-23
2.8409e+01 1.7973e-23
2.8672e+01 1.7602e-23
2.8938e+01 1.7241e-23
2.9206e+01 1.6889e-23
2.9476e+01 1.6545e-23
2.9749e+01 1.6211e-23
3.0025e+01 1.5884e-23
3.0303e+01 1.5566e-23
3.0583e+01 1.5256e-23
3.0867e+01 1.4954e-23
3.1153e+01 1.4660e-23
3.1441e+01 1.4372e-23
3.1732e+01 1.4091e-23
3.2026e+01 1.3816e-23
3.2323e+01 1.3547e-23
3.2622e+01 1.3283e-23
3.2924e+01 1.3025e-23
3.3229e+01 1.2771e-23
3.3537e+01 1.2523e-23
3.3848e+01 1.2279e-23
3.4161e+01 1.2040e-23
3.4478e+01 1.1805e-23
3.4797e+01 1.1575e-23
3.5119e+01 1.1349e-23
3.5445e+01 1.1128e-23
3.5773e+01 1.0911e-23
3.6104e+01 1.0698e-23
3.6439e+01 1.0489e-23
3.6776e+01 1.0285e-23
3.7117e+01 1.0084e-23
3.7461e+01 9.8871e-24
3.7807e+01 9.6941e-24
3.8158e+01 9.5049e-24
3.8511e+01 9.3193e-24
3.8868e+01 9.1374e-24
3.9228e+01 8.9591e-24
3.9591e+01 8.7842e-24
3.9958e+01 8.6127e-24
4.0328e+01 8.4446e-24
4.0701e+01 8.2797e-24
4.1078e+01 8.1181e-24
4.1459e+01 7.9596e-24
4.1843e+01 7.8043e-24
4.2230e+01 7.6519e-24
4.2622e+01 7.5025e-24
4.3016e+01 7.3561e-24
4.3415e+01 7.2125e-24
4.3817e+01 7.0717e-24
4.4223e+01 6.9337e-24
4.4632e+01 6.7983e-24
4.5046e+01 6.6656e-24
4.5463e+01 6.5355e-24
4.5884e+01 6.4079e-24
4.6309e+01 6.2828e-24
4.6738e+01 6.1602e-24
4.7171e+01 6.0399e-24
4.7608e+01 5.9220e-24
4.8049e+01 5.8064e-24
4.8494e+01 5.6931e-24
4.8943e+01 5.5819e-24
4.9396e+01 5.4730e-24
4.9854e+01 5.3661e-24
5.0315e+01 5.2614e-24
5.0782e+01 5.1587e-24
5.1252e+01 5.0580e-24
5.1727e+01 4.9593e-24
5.2206e+01 4.8629e-24
5.2689e+01 4.7691e-24
5.3177e+01 4.6784e-24
5.3670e+01 4.5911e-24
5.4167e+01 4.5074e-24
5.4669e+01 4.4272e-24
5.5175e+01 4.3503e-24
5.5686e+01 4.2765e-24
5.6202e+01 4.2052e-24
5.6722e+01 4.1362e-24
5.7248e+01 4.0690e-24
5.7778e+01 4.0036e-24
5.8313e+01 3.9397e-24
