# O4 Sensitivity 0.04excess-PR-50WatBS-40K-FeasibleLaserNoise
# frequency(Hz) strain(/rtHz) LF_noise susp_thermal mirror_thermal quantum laser_noise
1.0000e+00 4.0000e-12 4.0000e-12 1.5000e-19 3.9960e-23 2.0500e-20 1.3250e-19
1.0090e+00 3.7906e-12 3.7906e-12 1.4360e-19 3.9820e-23 2.0125e-20 1.2922e-19
1.0190e+00 3.5729e-12 3.5729e-12 1.3760e-19 3.9680e-23 1.9756e-20 1.2570e-19
1.0280e+00 3.3892e-12 3.3892e-12 1.3200e-19 3.9540e-23 1.9395e-20 1.2264e-19
1.0380e+00 3.1980e-12 3.1980e-12 1.2680e-19 3.9400e-23 1.9040e-20 1.1936e-19
1.0470e+00 3.0365e-12 3.0365e-12 1.2190e-19 3.9260e-23 1.8691e-20 1.1651e-19
1.0570e+00 2.8682e-12 2.8682e-12 1.1730e-19 3.9120e-23 1.8349e-20 1.1345e-19
1.0670e+00 2.7107e-12 2.7107e-12 1.1290e-19 3.8980e-23 1.8013e-20 1.1050e-19
1.0770e+00 2.5631e-12 2.5631e-12 1.0890e-19 3.8840e-23 1.7683e-20 1.0765e-19
1.0870e+00 2.4248e-12 2.4248e-12 1.0500e-19 3.8700e-23 1.7360e-20 1.0490e-19
1.0970e+00 2.2952e-12 2.2952e-12 1.0140e-19 3.8570e-23 1.7042e-20 1.0224e-19
1.1070e+00 2.1736e-12 2.1736e-12 9.7990e-20 3.8430e-23 1.6730e-20 9.9680e-20
1.1170e+00 2.0594e-12 2.0594e-12 9.4770e-20 3.8290e-23 1.6423e-20 9.7201e-20
1.1270e+00 1.9522e-12 1.9522e-12 9.1730e-20 3.8160e-23 1.6123e-20 9.4805e-20
1.1380e+00 1.8416e-12 1.8416e-12 8.8850e-20 3.8020e-23 1.5827e-20 9.2262e-20
1.1480e+00 1.7475e-12 1.7475e-12 8.6140e-20 3.7890e-23 1.5537e-20 9.0029e-20
