# O4 Sensitivity 0.3excess-PR-50WatBS-300K-PessimisticLaserNoise
# frequency(Hz) strain(/rtHz) LF_noise susp_thermal mirror_thermal quantum laser_noise
1.0000e+00 3.0000e-11 3.0000e-11 4.3950e-18 8.0320e-22 2.0500e-20 1.3250e-19
1.0090e+00 2.8430e-11 2.8430e-11 4.1700e-18 7.9600e-22 2.0125e-20 1.2922e-19
1.0190e+00 2.6796e-11 2.6796e-11 3.9580e-18 7.8880e-22 1.9756e-20 1.2570e-19
1.0280e+00 2.5419e-11 2.5419e-11 3.7590e-18 7.8180e-22 1.9395e-20 1.2264e-19
1.0380e+00 2.3985e-11 2.3985e-11 3.5710e-18 7.7470e-22 1.9040e-20 1.1936e-19
1.0470e+00 2.2774e-11 2.2774e-11 3.3930e-18 7.6780e-22 1.8691e-20 1.1651e-19
1.0570e+00 2.1512e-11 2.1512e-11 3.2240e-18 7.6090e-22 1.8349e-20 1.1345e-19
1.0670e+00 2.0330e-11 2.0330e-11 3.0640e-18 7.5410e-22 1.8013e-20 1.1050e-19
1.0770e+00 1.9223e-11 1.9223e-11 2.9110e-18 7.4730e-22 1.7683e-20 1.0765e-19
1.0870e+00 1.8186e-11 1.8186e-11 2.7660e-18 7.4060e-22 1.7360e-20 1.0490e-19
1.0970e+00 1.7214e-11 1.7214e-11 2.6270e-18 7.3400e-22 1.7042e-20 1.0224e-19
1.1070e+00 1.6302e-11 1.6302e-11 2.4950e-18 7.2740e-22 1.6730e-20 9.9680e-20
1.1170e+00 1.5446e-11 1.5446e-11 2.3680e-18 7.2090e-22 1.6423e-20 9.7201e-20
1.1270e+00 1.4641e-11 1.4641e-11 2.2470e-18 7.1440e-22 1.6123e-20 9.4805e-20
1.1380e+00 1.3812e-11 1.3812e-11 2.1300e-18 7.0800e-22 1.5827e-20 9.2262e-20
1.1480e+00 1.3106e-11 1.3106e-11 2.0170e-18 7.0170e-22 1.5537e-20 9.0029e-20
1.1590e+00 1.2377e-11 1.2377e-11 1.9090e-18 6.9540e-22 1.5253e-20 8.7657e-20
1.1700e+00 1.1695e-11 1.1695e-11 1.8050e-18 6.8920e-22 1.4973e-20 8.5369e-20
1.1810e+00 1.1057e-11 1.1057e-11 1.7040e-18 6.8300e-22 1.4699e-20 8.3161e-20
1.1910e+00 1.0511e-11 1.0511e-11 1.6070e-18 6.7680e-22 1.4430e-20 8.1221e-20
1.2020e+00 9.9471e-12 9.9471e-12 1.5120e-18 6.7080e-22 1.4166e-20 7.9157e-20
1.2140e+00 9.3715e-12 9.3715e-12 1.4200e-18 6.6480e-22 1.3906e-20 7.6985e-20
1.2250e+00 8.8778e-12 8.8778e-12 1.3310e-18 6.5880e-22 1.3651e-20 7.5065e-20
1.2360e+00 8.4142e-12 8.4142e-12 1.2440e-18 6.5290e-22 1.3401e-20 7.3210e-20
1.2480e+00 7.9402e-12 7.9402e-12 1.1590e-18 6.4700e-22 1.3156e-20 7.1256e-20
1.2590e+00 7.5330e-12 7.5330e-12 1.0760e-18 6.4120e-22 1.2915e-20 6.9526e-20
